geneid,BPcum,genesymbol,type,TWAS.Z,TWAS.P
ENSG00000272438.1,910406,RP11-54O7.16,aoi,-0.75885,0.447942
ENSG00000230699.2,913192,RP11-54O7.1,aoi,-0.9469,0.343688
ENSG00000223764.2,918941,RP11-54O7.3,aoi,-0.66248,0.507661
ENSG00000187634.11,934255,SAMD11,aoi,-0.52081,0.602502
ENSG00000187961.13,963152,KLHL17,aoi,0.22512,0.821883
ENSG00000187583.10,971182,PLEKHN1,aoi,-0.51221,0.608506
ENSG00000273443.1,1062748,RP11-54O7.18,aoi,-1.10776,0.267966
ENSG00000162571.13,1185910,TTLL10,aoi,0.2788,0.7804
ENSG00000230415.1,1277822,RP5-902P8.10,aoi,0.85187,0.394289
ENSG00000131584.18,1300993,ACAP3,aoi,-1.46417,0.143147
ENSG00000162576.16,1357234,MXRA8,aoi,-0.49948,0.617438
ENSG00000175756.13,1374613,AURKAIP1,aoi,0.59919,0.549044
ENSG00000223663.2,1378850,NDUFB4P8,aoi,-1.07071,0.284301
ENSG00000235098.8,1420095,ANKRD65,aoi,-1.09184,0.274901
ENSG00000225905.1,1421468,RP4-758J18.7,aoi,-1.82915,0.067377
ENSG00000160072.19,1484809,ATAD3B,aoi,1.60827,0.107776
ENSG00000197785.13,1523420,ATAD3A,aoi,-0.475,0.634787
ENSG00000215790.6,1735416,SLC35E2,aoi,1.89293,0.058367
ENSG00000142609.17,1962894,CFAP74,aoi,2.70273,0.006877
ENSG00000271806.1,2143182,RP5-892K4.1,aoi,1.40038,0.161399
ENSG00000269896.2,2351618,RP4-740C4.5,aoi,0.55821,0.576702
ENSG00000272420.1,2363345,RP4-740C4.7,aoi,1.75419,0.079398
ENSG00000142606.15,2611815,MMEL1,aoi,1.87422,0.0609
ENSG00000215912.12,2718847,TTC34,aoi,-1.27459,0.202454
ENSG00000283259.1,2775038,ABC14-1188822O7.1,aoi,2.00794,0.044649
ENSG00000231630.1,2814716,RP11-740P5.3,aoi,1.206,0.227817
ENSG00000177133.10,3064026,LINC00982,aoi,-0.19791,0.843117
ENSG00000283572.1,3128006,MIR4251,aoi,-0.30067,0.76367
ENSG00000162591.15,3550708,MEGF6,aoi,-0.33872,0.734821
ENSG00000158109.14,3627565,TPRG1L,aoi,-1.27649,0.201782
ENSG00000227372.11,3741469,TP73-AS1,aoi,-0.261,0.794093
ENSG00000130764.9,3787532,LRRC47,aoi,-0.99188,0.321258
ENSG00000116198.12,3834648,CEP104,aoi,-1.17581,0.239669
ENSG00000169598.15,3871348,DFFB,aoi,-0.14509,0.884637
ENSG00000198912.10,3894710,C1orf174,aoi,1.83327,0.066762
ENSG00000131697.17,5927642,NPHP4,aoi,-1.84289,0.065345
ENSG00000226944.1,6205310,RP1-120G22.11,aoi,0.86393,0.387624
ENSG00000116237.15,6228583,ICMT,aoi,0.07326,0.941602
ENSG00000097021.19,6329330,ACOT7,aoi,0.31651,0.751619
ENSG00000271746.1,6393974,RP1-202O8.3,aoi,-1.8537,0.063783
ENSG00000231868.1,6445020,RP1-202O8.2,aoi,0.40799,0.683283
ENSG00000215788.9,6463674,TNFRSF25,aoi,-0.375,0.707663
ENSG00000171680.20,6493077,PLEKHG5,aoi,0.86,0.389789
ENSG00000229519.2,6548262,RP11-58A11.2,aoi,-0.00306,0.997557
ENSG00000204859.12,6584641,ZBTB48,aoi,1.20683,0.227498
ENSG00000237365.1,7011328,RP11-334N17.1,aoi,0.10836,0.913709
ENSG00000171735.18,7277516,CAMTA1,aoi,3.03928,0.002371
ENSG00000225126.1,7441326,RP4-549F15.1,aoi,0.38663,0.699027
ENSG00000270171.1,7693984,RP11-338N10.1,aoi,1.208,0.227047
ENSG00000269978.1,7700838,RP11-338N10.3,aoi,1.208,0.227047
ENSG00000234619.1,8750759,RPL7P11,aoi,-0.94491,0.344705
ENSG00000201725.1,8883480,RNU6-304P,aoi,1.27222,0.203296
ENSG00000228526.5,9172498,MIR34A,aoi,-1.31008,0.190168
ENSG00000049239.12,9253056,H6PD,aoi,-0.097,0.922726
ENSG00000271264.1,9781032,MZT1P1,aoi,-0.19368,0.846429
ENSG00000228150.1,9946449,RP11-84A14.4,aoi,0.41356,0.679198
ENSG00000130939.18,10107036,UBE4B,aoi,1.05997,0.289161
ENSG00000201746.1,10163322,RNU6-828P,aoi,-0.29141,0.77074
ENSG00000175279.21,10436626,APITD1,aoi,-0.08539,0.931948
ENSG00000251503.8,10441128,APITD1-CORT,aoi,0.11691,0.906932
ENSG00000215785.2,10991388,CFL1P6,aoi,0.21477,0.829944
ENSG00000171824.13,11083250,EXOSC10,aoi,1.0212,0.307158
ENSG00000230337.1,11100888,RP4-635E18.6,aoi,0.63,0.528695
ENSG00000198793.12,11184522,MTOR,aoi,0.60602,0.544504
ENSG00000238199.1,11278984,UBE2V2P3,aoi,0.70773,0.479116
ENSG00000120942.13,11284628,UBIAD1,aoi,-0.39968,0.689396
ENSG00000204624.7,11508376,DISP3,aoi,1.26199,0.206954
ENSG00000116661.9,11652076,FBXO2,aoi,-0.58998,0.555203
ENSG00000116663.10,11669240,FBXO6,aoi,0.09777,0.922111
ENSG00000162490.6,11708794,DRAXIN,aoi,0.562,0.574116
ENSG00000242349.5,11844548,NPPA-AS1,aoi,0.82,0.412216
ENSG00000083444.16,11954872,PLOD1,aoi,-0.27,0.78716
ENSG00000116688.16,11996848,MFN2,aoi,-0.856,0.391998
ENSG00000227875.2,12080420,RPL23AP89,aoi,-0.407,0.684008
ENSG00000120949.14,12103792,TNFRSF8,aoi,0.45966,0.645757
ENSG00000221340.1,12570022,RNU6ATAC18P,aoi,1.35227,0.176291
ENSG00000236179.1,13105046,PRAMEF35P,aoi,-1.45745,0.144992
ENSG00000252151.1,14124284,RNU6-1265P,aoi,-1.73302,0.083093
ENSG00000231606.1,14222505,RP11-344F13.1,aoi,1.13324,0.257113
ENSG00000204464.7,15167831,C1orf195,aoi,-0.03976,0.968283
ENSG00000171729.13,15186506,TMEM51,aoi,-1.44066,0.149681
ENSG00000142621.19,15323778,FHAD1,aoi,0.72481,0.468569
ENSG00000142634.12,15420120,EFHD2,aoi,-0.35219,0.724696
ENSG00000252417.1,15608112,RNU7-179P,aoi,-0.01391,0.988901
ENSG00000271742.1,15683001,RP4-680D5.9,aoi,0.43361,0.664568
ENSG00000224321.1,15793041,RPL12P14,aoi,0.70662,0.479805
ENSG00000232456.1,16037604,RP11-5P18.10,aoi,0.942,0.346193
ENSG00000142632.16,16205232,ARHGEF19,aoi,0.507,0.612155
ENSG00000237276.8,16221968,ANO7P1,aoi,0.0423,0.966263
ENSG00000132881.11,16234432,RSG1,aoi,0.86837,0.385193
ENSG00000187144.11,16412271,SPATA21,aoi,0.29082,0.771191
ENSG00000226029.1,16464715,RP4-798A10.2,aoi,1.17601,0.239592
ENSG00000224174.2,16521246,RP4-798A10.4,aoi,0.47265,0.636464
ENSG00000225710.1,16550592,RP5-875O13.6,aoi,-1.02862,0.303658
ENSG00000219481.10,16587941,NBPF1,aoi,1.12682,0.259816
ENSG00000280114.1,16684924,RP5-875O13.7,aoi,0.732,0.464167
ENSG00000236698.1,16685838,EIF1AXP1,aoi,-1.083,0.278808
ENSG00000279151.1,16703570,RP1-163M9.7,aoi,0.97341,0.33035
ENSG00000279132.1,16734206,FAM231C,aoi,0.41886,0.675319
ENSG00000186715.10,16762574,MST1L,aoi,0.78347,0.43335
ENSG00000228549.3,16872519,RP11-108M9.3,aoi,0.426,0.670108
ENSG00000238142.1,16889094,RP11-108M9.4,aoi,1.22166,0.221834
ENSG00000159363.17,16998944,ATP13A2,aoi,-0.572,0.567322
ENSG00000117118.9,17036446,SDHB,aoi,-0.942,0.346193
ENSG00000117115.12,17093098,PADI2,aoi,0.05181,0.958677
ENSG00000142623.9,17225566,PADI1,aoi,-2.61016,0.00905
ENSG00000074964.16,17618855,ARHGEF10L,aoi,0.74383,0.456979
ENSG00000230035.2,18173138,RP11-174G17,aoi,2.16554,0.030347
ENSG00000179023.8,18483554,KLHDC7A,aoi,0.384,0.700978
ENSG00000127463.13,19233608,EMC1,aoi,-1.13359,0.256967
ENSG00000053372.4,19255834,MRTO4,aoi,0.285,0.775644
ENSG00000053371.12,19308056,AKR7A2,aoi,-1.52652,0.126881
ENSG00000077549.17,19412158,CAPZB,aoi,0.68647,0.492415
ENSG00000226396.1,19608342,RP5-1056L3.3,aoi,-2.43333,0.01496
ENSG00000158747.13,19649506,NBL1,aoi,0.57688,0.564024
ENSG00000158748.3,19672425,HTR6,aoi,1.22336,0.221195
ENSG00000162542.13,19741080,TMCO4,aoi,1.254,0.209842
ENSG00000169914.5,19897730,OTUD3,aoi,1.23109,0.21829
ENSG00000127472.10,20059685,PLA2G5,aoi,0.32823,0.742734
ENSG00000227066.1,20157454,RP3-340N1.2,aoi,1.48931,0.136404
ENSG00000187980.6,20169339,PLA2G2C,aoi,1.98019,0.047683
ENSG00000090432.6,20503805,MUL1,aoi,-0.79087,0.429018
ENSG00000158825.5,20603928,CDA,aoi,2.524,0.011603
ENSG00000158828.6,20642484,PINK1,aoi,-0.7942,0.427077
ENSG00000117242.7,20647426,PINK1-AS,aoi,0.69,0.490194
ENSG00000117245.12,20691016,KIF17,aoi,-0.26918,0.787788
ENSG00000075151.20,20991590,EIF4G3,aoi,0.41273,0.679802
ENSG00000227001.3,21426296,NBPF2P,aoi,0.049,0.960919
ENSG00000142794.18,21462567,NBPF3,aoi,0.83838,0.401819
ENSG00000187942.11,21818744,LDLRAD2,aoi,2.604,0.009214
ENSG00000142798.17,21879772,HSPG2,aoi,0.46079,0.644948
ENSG00000201273.1,22011037,RNU6-776P,aoi,0.03246,0.974102
ENSG00000228397.2,22025020,RP1-224A6.3,aoi,-0.34685,0.728708
ENSG00000218510.6,22027878,LINC00339,aoi,1.076,0.281927
ENSG00000230068.2,22061698,CDC42-IT1,aoi,1.86688,0.061918
ENSG00000266564.1,22266270,MIR4418,aoi,-0.26246,0.79297
ENSG00000173372.16,22638058,C1QA,aoi,-0.536,0.591959
ENSG00000133216.16,22816170,EPHB2,aoi,0.595,0.551843
ENSG00000004487.15,23051569,KDM1A,aoi,-1.88244,0.059776
ENSG00000169641.13,23130916,LUZP1,aoi,0.662,0.507971
ENSG00000249087.6,23370418,ZNF436-AS1,aoi,-1.85598,0.063457
ENSG00000204219.9,23402901,TCEA3,aoi,-2.39356,0.016686
ENSG00000232482.2,23411490,RP4-654C18.1,aoi,0.342,0.732351
ENSG00000057757.9,23783319,PITHD1,aoi,-2.38372,0.017139
ENSG00000117305.14,23820253,HMGCL,aoi,-2.52811,0.011468
ENSG00000188529.14,23972866,SRSF10,aoi,2.72852,0.006362
ENSG00000185436.11,24171058,IFNLR1,aoi,0.61371,0.539406
ENSG00000001460.17,24386967,STPG1,aoi,-0.43696,0.662143
ENSG00000001461.16,24444386,NIPAL3,aoi,-2.05325,0.040048
ENSG00000184454.6,24582720,NCMAP,aoi,-0.09071,0.927726
ENSG00000020633.18,24932316,RUNX3,aoi,-1.24041,0.214824
ENSG00000117614.9,25227591,SYF2,aoi,0.14958,0.881096
ENSG00000261349.1,25266620,RP3-465N24.5,aoi,-0.06805,0.945748
ENSG00000183726.10,25350140,TMEM50A,aoi,-0.03225,0.974273
ENSG00000188672.17,25396221,RHCE,aoi,-1.986,0.047033
